(aaltoan01,Antti,Aalto)
(abbeybr01,Bruce,Abbey)
(abbotge01,George,Abbott)
(abbotre01,Reg,Abbott)
(abdelju01,Justin,Abdelkader)
(abelcl01,Clarence,Abel)
(abelge01,Gerry,Abel)
(abelsi01,Sid,Abel)
(abgrade01,Dennis,Abgrall)
(abidra01,Ramzi,Abid)
(abrahch01,Christer,Abrahamsson)
(abrahth01,Thommy,Abrahamsson)
(achtyge01,Gene,Achtymichuk)
(acombdo01,Doug,Acomb)
(actonke01,Keith,Acton)
(adairji01,Jim,Adair)
(adamdo01,Douglas,Adam)
(adamipe01,Petr,Adamik)
(adamlu01,Luke,Adam)
(adamru01,Russ,Adam)
(adamsbi01,Bill,Adams)
(adamsbr01,Bryan,Adams)
(adamscr01,Craig,Adams)
(adamsgr01,Greg,Adams)
(adamsgr02,Greg,Adams)
(adamsja01,Jack,Adams)
(adamsjo01,John,Adams)
(adamsjo02,John,Adams)
(adamske01,Kevyn,Adams)
(adamsst01,Stew,Adams)
(adduora01,Ray,Adduono)
(adduori01,Rick,Adduono)
(aebisda01,David,Aebischer)
(afanadm01,Dmitry,Afanasenkov)
(afflebr01,Bruce,Affleck)
(afinoma01,Maxim,Afinogenov)
(agnewji01,Jim,Agnew)
(ahearke01,Kevin,Ahearn)
(ahernfr01,Fred,Ahern)
(ahlinru01,Rudy,Ahlin)
(ahokase01,Seppo,Ahokainen)
(aholape01,Peter,Ahola)
(ahrench01,Chris,Ahrens)
(aikendo01,Don,Aiken)
(ailsbll01,Lloyd,Ailsby)
(aitkean01,Andy,Aitkenhead)
(aitkebr01,Brad,Aitken)
(aitkejo01,Johnathan,Aitken)
(aivazmi01,Micah,Aivazoff)
(alatami01,Mika,Alatalo)
(albelto01,Tommy,Albelin)
(alberan01,Andrew,Alberts)
(albricl01,Clint,Albright)
(aldcoga01,Gary,Aldcorn)
(aldrike01,Keith,Aldridge)
(alexaar01,Art,Alexandre)
(alexacl01,Claire,Alexander)
(alexeni01,Nikita,Alexeev)
(alfreda01,Daniel,Alfredsson)
(aliuak01,Akim,Aliu)
(allanje01,Jeff,Allan)
(allenbo01,Bobby,Allen)
(allenbr01,Bryan,Allen)
(allench01,Chris,Allen)
(allenge01,George,Allen)
(allenke01,Keith,Allen)
(allenpe01,Peter,Allen)
(allenvi01,Viv,Allen)
(alleyst01,Steve,Alley)
(allisda01,Dave,Allison)
(allisja01,Jason,Allison)
(allisja02,Jamie,Allison)
(allismi01,Mike,Allison)
(allisra01,Ray,Allison)
(allumbi01,Bill,Allum)
(almasre01,Red,Almas)
(almonco01,Cody,Almond)
(alzneka01,Karl,Alzner)
(amadida01,Dave,Amadio)
(ambrope01,Peter,Ambroziak)
(amodemi01,Mike,Amodeo)
(amontto01,Tony,Amonte)
(anderbi01,Bill,Anderson)
(andercr01,Craig,Anderson)
(anderda01,Dale,Anderson)
(anderdo01,Doug,Anderson)
(anderea01,Earl,Anderson)
(anderer01,Erik,Andersson)
(anderer02,Ernie,Anderson)
(andergl01,Glenn,Anderson)
(anderji01,Jim,Anderson)
(anderjo01,John,Anderson)
(anderjo02,Jonas,Andersson)
(anderjo03,Jocko,Anderson)
(anderjo04,Joakim,Andersson)
(anderke01,Kent-Erik,Andersson)
(anderlo01,Lorne,Anderson)
(andermi01,Mikael,Andersson)
(andermu01,Murray,Anderson)
(anderni01,Niklas,Andersson)
(anderpe01,Perry,Anderson)
(anderpe02,Peter,Andersson)
(anderpe03,Peter,Andersson)
(anderro01,Ron,Anderson)
(anderro02,Ron,Anderson)
(anderro03,Ron F.,Anderson)
(anderru01,Russ,Anderson)
(andersh01,Shawn,Anderson)
(anderto01,Tom,Anderson)
(andrast01,Steve,Andrascik)
(andreal01,Alexander,Andrevi)
(andreda01,Dave,Andreychuk)
(andrell01,Lloyd,Andrews)
(andrepa01,Paul,Andrea)
(andrial01,Alexander,Andrievski)
(andrugr01,Greg,Andrusak)
(andruro01,Ron,Andruff)
(angelme01,Mel,Angelstad)
(angelmi01,Mike,Angelidis)
(angotlo01,Lou,Angotti)
(anholda01,Darrel,Anholt)
(anisiar01,Artem,Anisimov)
(anslohu01,Hub,Anslow)
(antonmi01,Mike,Antonovich)
(antossh01,Shawn,Antoski)
(antroni01,Nik,Antropov)
(appssy01,Syl,Apps)
(appssy02,Syl,Apps)
(arboual01,Al,Arbour)
(arbouam01,Amos,Arbour)
(arbouja01,Jack,Arbour)
(arboujo01,John,Arbour)
(arbouty01,Ty,Arbour)
(archami01,Michel,Archambault)
(archayv01,Yves,Archambault)
(archida01,Dave,Archibald)
(archiji01,Jim,Archibald)
(areshro01,Ron,Areshenkoff)
(arkhide01,Denis,Arkhipov)
(armstbi01,Bill,Armstrong)
(armstbo01,Bob,Armstrong)
(armstch01,Chris,Armstrong)
(armstco01,Colby,Armstrong)
(armstde01,Derek,Armstrong)
(armstge01,George,Armstrong)
(armstmu01,Murray,Armstrong)
(armstno01,Norm,Armstrong)
(armstri01,Riley,Armstrong)
(armstti01,Tim,Armstrong)
(arnasch01,Chuck,Arnason)
(arnasty01,Tyler,Arnason)
(arndtda01,Danny,Arndt)
(arnieja01,Jamie,Arniel)
(arniesc01,Scott,Arniel)
(arnotja01,Jason,Arnott)
(arsende01,Dean,Arsene)
(arthufr01,Fred,Arthur)
(artyuev01,Evgeny,Artyukhin)
(arundjo01,John,Arundel)
(arvedma01,Magnus,Arvedson)
(aseltja01,Jack,Aseltine)
(ashamar01,Arron,Asham)
(ashbeba01,Barry,Ashbee)
(ashbo01,Bob,Ash)
(ashbydo01,Don,Ashby)
(ashtobr01,Brent,Ashton)
(ashtoca01,Carter,Ashton)
(ashtoro01,Ron,Ashton)
(ashwofr01,Frank,Ashworth)
(askeyto01,Tom,Askey)
(asmunfr01,Freeman,Asmundson)
(asmunos01,Oscar,Asmundson)
(astaska01,Kaspars,Astashenko)
(astlema01,Mark,Astley)
(astroha01,Hardy,Astrom)
(atanawa01,Walt,Atanas)
(atchebl01,Blair,Atcheynum)
(atkinar01,Archie,Atkinson)
(atkinca01,Cam,Atkinson)
(atkinst01,Steve,Atkinson)
(attwebo01,Bob,Attwell)
(attwero01,Ron,Attwell)
(aubinje01,Jean-Sebastien,Aubin)
(aubinno01,Norm,Aubin)
(aubinse01,Serge,Aubin)
(aubrypi01,Pierre,Aubry)
(aubryse01,Serge,Aubry)
(aubucos01,Ossie,Aubuchon)
(aucoiad01,Adrian,Aucoin)
(aucoike01,Keith,Aucoin)
(audetdo01,Donald,Audette)
(audetph01,Philippe,Audet)
(augele01,Les,Auge)
(auguspa01,Patrik,Augusta)
(auldal01,Alex,Auld)
(aulieke01,Keith,Aulie)
(aulinja01,Jared,Aulin)
(auriela01,Larry,Aurie)
(averyse01,Sean,Avery)
(awreydo01,Don,Awrey)
(axelspj01,P.J.,Axelsson)
(ayresve01,Vern,Ayres)
(babanpe01,Pete,Babando)
(babarse01,Sergei,Babariko)
(babchan01,Anton,Babchuk)
(babcobo01,Bobby,Babcock)
(babenyu01,Yuri,Babenko)
(babewa01,Warren,Babe)
(babinmi01,Mitch,Babin)
(babycda01,Dave,Babych)
(babycwa01,Wayne,Babych)
(babyjo01,John,Baby)
(bacaje01,Jergus,Baca)
(bacasja01,Jason,Bacashihua)
(bachmri01,Richard,Bachman)
(bachry01,Ryan,Bach)
(backeda01,David,Backes)
(backljo01,Johan,Backlund)
(backlmi01,Mikael,Backlund)
(backmch01,Christian,Backman)
(backmmi01,Mike,Backman)
(backope01,Pete,Backor)
(backsni01,Niklas,Backstrom)
(backsni02,Nicklas,Backstrom)
(backsra01,Ralph,Backstrom)
(baertsv01,Sven,Baertschi)
(bagnadr01,Drew,Bagnall)
(baileac01,Ace,Bailey)
(bailebo01,Bob,Bailey)
(bailega01,Garnet,Bailey)
(bailejo01,Josh,Bailey)
(bailere01,Reid,Bailey)
(bailesc01,Scott,Bailey)
(bailljo01,Joel,Baillargeon)
(bairdke01,Ken,Baird)
(bakerbi01,Bill,Baker)
(bakerbi02,Bill,Baker)
(bakerbr01,Brownie,Baker)
(bakerfr01,Frank,Baker)
(bakerha01,Hamilton,Baker)
(bakerja01,Jamie,Baker)
(bakerst01,Steve,Baker)
(bakovpe01,Peter,Bakovic)
(balach01,Chris,Bala)
